dttm,value,label
2013-07-10 23:35:00,198.5333333,0
2013-07-10 23:50:00,203.8666667,0
2013-07-11 00:05:00,211.6666667,0
2013-07-11 00:20:00,202.9333333,0
2013-07-11 00:35:00,200.8666667,0
2013-07-11 00:50:00,199,0
2013-07-11 01:05:00,198.6666667,0
2013-07-11 01:20:00,187.1333333,0
2013-07-11 01:35:00,183.0666667,0
2013-07-11 01:50:00,176.7333333,0
2013-07-11 02:05:00,178.5333333,0
2013-07-11 02:20:00,176.6,0
2013-07-11 02:35:00,161.8666667,0
2013-07-11 02:50:00,137.7333333,0
2013-07-11 03:05:00,75.33333333,0
2013-07-11 03:20:00,58,0
2013-07-11 03:35:00,58,0
2013-07-11 03:50:00,55.06666667,0
2013-07-11 04:05:00,46,0
2013-07-11 04:20:00,63.33333333,0
2013-07-11 04:35:00,61.13333333,0
2013-07-11 04:50:00,61,0
2013-07-11 05:05:00,61,0
2013-07-11 05:20:00,61,0
2013-07-11 05:35:00,61,0
2013-07-11 05:50:00,61,0
2013-07-11 06:05:00,61,0
2013-07-11 06:20:00,61,0
2013-07-11 06:35:00,61,0
2013-07-11 06:50:00,61,0
2013-07-11 07:05:00,61,0
2013-07-11 07:20:00,61,0
2013-07-11 07:35:00,60.86666667,0
2013-07-11 07:50:00,60.6,0
2013-07-11 08:05:00,61.06666667,0
2013-07-11 08:20:00,61,0
2013-07-11 08:35:00,61,0
2013-07-11 08:50:00,76.13333333,0
2013-07-11 09:05:00,78.73333333,0
2013-07-11 09:20:00,79.4,0
2013-07-11 09:35:00,91.6,0
2013-07-11 09:50:00,100,0
2013-07-11 10:05:00,100,0
2013-07-11 10:20:00,103.6666667,0
2013-07-11 10:35:00,117.0666667,0
2013-07-11 10:50:00,131.2666667,0
2013-07-11 11:05:00,155.2666667,0
2013-07-11 11:20:00,156,0
2013-07-11 11:35:00,179.7333333,0
2013-07-11 11:50:00,206,0
2013-07-11 12:05:00,240.4,0
2013-07-11 12:20:00,206.7333333,0
2013-07-11 12:35:00,210.7333333,0
2013-07-11 12:50:00,207.8666667,0
2013-07-11 13:05:00,193.2666667,0
2013-07-11 13:20:00,212.8,0
2013-07-11 13:35:00,185.0666667,0
2013-07-11 13:50:00,243.0666667,0
2013-07-11 14:05:00,181,0
2013-07-11 14:20:00,200.8666667,0
2013-07-11 14:35:00,183.0666667,0
2013-07-11 14:50:00,226.6,0
2013-07-11 15:05:00,224.6666667,0
2013-07-11 15:20:00,222.2,0
2013-07-11 15:35:00,207,0
2013-07-11 15:50:00,207.1333333,0
2013-07-11 16:05:00,208,0
2013-07-11 16:20:00,208,0
2013-07-11 16:35:00,208.2,0
2013-07-11 16:50:00,206.7333333,0
2013-07-11 17:05:00,206.9333333,0
2013-07-11 17:20:00,199.5333333,0
2013-07-11 17:35:00,161.5333333,0
2013-07-11 17:50:00,153.2,0
2013-07-11 18:05:00,153.7333333,0
2013-07-11 18:20:00,151.4,0
2013-07-11 18:35:00,147.3333333,0
2013-07-11 18:50:00,163.4666667,0
2013-07-11 19:05:00,168.1333333,0
2013-07-11 19:20:00,168,0
2013-07-11 19:35:00,167.3333333,0
2013-07-11 19:50:00,165,0
2013-07-11 20:05:00,164.0666667,0
2013-07-11 20:20:00,158.2666667,0
2013-07-11 20:35:00,157.4,0
2013-07-11 20:50:00,156,0
2013-07-11 21:05:00,155.4666667,0
2013-07-11 21:20:00,153.1333333,0
2013-07-11 21:35:00,179.4,0
2013-07-11 21:50:00,171.8,0
2013-07-11 22:05:00,171,0
2013-07-11 22:20:00,169.8666667,0
2013-07-11 22:35:00,169,0
2013-07-11 22:50:00,167.2,0
2013-07-11 23:05:00,155.5333333,0
2013-07-11 23:20:00,85,0
2013-07-11 23:35:00,63.33333333,0
2013-07-11 23:50:00,63.66666667,0
2013-07-12 00:05:00,64.46666667,0
2013-07-12 00:20:00,65,0
2013-07-12 00:35:00,65,0
2013-07-12 00:50:00,64.93333333,0
2013-07-12 01:05:00,56.33333333,0
2013-07-12 01:20:00,59.8,0
2013-07-12 01:35:00,69.13333333,0
2013-07-12 01:50:00,69.93333333,0
2013-07-12 02:05:00,75.86666667,0
2013-07-12 02:20:00,79.8,0
2013-07-12 02:35:00,98.6,0
2013-07-12 02:50:00,93.46666667,0
2013-07-12 03:05:00,94.66666667,0
2013-07-12 03:20:00,93,0
2013-07-12 03:35:00,93,0
2013-07-12 03:50:00,94,0
2013-07-12 04:05:00,108.2,0
2013-07-12 04:20:00,117.1333333,0
2013-07-12 04:35:00,123,0
2013-07-12 04:50:00,126.8,0
2013-07-12 05:05:00,132,0
2013-07-12 05:20:00,132,0
2013-07-12 05:35:00,132,0
2013-07-12 05:50:00,132,0
2013-07-12 06:05:00,132,0
2013-07-12 06:20:00,132,0
2013-07-12 06:35:00,132,0
2013-07-12 06:50:00,133.9333333,0
2013-07-12 07:05:00,148.4666667,0
2013-07-12 07:20:00,154.4666667,0
2013-07-12 07:35:00,155.4666667,0
2013-07-12 07:50:00,157.8,0
2013-07-12 08:05:00,157.8666667,0
2013-07-12 08:20:00,157.5333333,0
2013-07-12 08:35:00,159.6666667,0
2013-07-12 08:50:00,160.1333333,0
2013-07-12 09:05:00,159.9333333,0
2013-07-12 09:20:00,159.4,0
2013-07-12 09:35:00,161.0666667,0
2013-07-12 09:50:00,161.4,0
2013-07-12 10:05:00,161.0666667,0
2013-07-12 10:20:00,158.4,0
2013-07-12 10:35:00,155.6,0
2013-07-12 10:50:00,153.5333333,0
2013-07-12 11:05:00,153.2666667,0
2013-07-12 11:20:00,154.2,0
2013-07-12 11:35:00,154.2,0
2013-07-12 11:50:00,154,0
2013-07-12 12:05:00,154.0666667,0
2013-07-12 12:20:00,146.8666667,0
2013-07-12 12:35:00,123.0666667,0
2013-07-12 12:50:00,92.8,0
2013-07-12 13:05:00,92.2,0
2013-07-12 13:20:00,94.73333333,0
2013-07-12 13:35:00,96.46666667,0
2013-07-12 13:50:00,97.06666667,0
2013-07-12 14:05:00,102.0666667,0
2013-07-12 14:20:00,103.9333333,0
2013-07-12 14:35:00,111.8,0
2013-07-12 14:50:00,132.6666667,0
2013-07-12 15:05:00,168.2666667,0
2013-07-12 15:20:00,188.3333333,0
2013-07-12 15:35:00,189.9333333,0
2013-07-12 15:50:00,178.0666667,0
2013-07-12 16:05:00,107.2,0
2013-07-12 16:20:00,106,0
2013-07-12 16:35:00,106,0
2013-07-12 16:50:00,149.8666667,0
2013-07-12 17:05:00,127.2666667,0
